home_team_id,away_team_id,winner_team_id,round,matrix
2,65,2,0,
18,66,18,0,
58,67,58,0,
68,42,42,0,
1,2,1,1,1
3,4,3,1,2
5,6,5,1,3
7,8,8,1,4
9,10,9,1,5
11,12,11,1,6
13,14,13,1,7
15,16,16,1,8
17,18,18,1,9
19,20,20,1,10
21,22,21,1,11
23,24,23,1,12
25,26,25,1,13
27,28,27,1,14
29,30,29,1,15
31,32,31,1,16
33,34,33,1,17
35,36,36,1,18
37,38,37,1,19
39,40,39,1,20
41,42,42,1,21
43,44,43,1,22
45,46,46,1,23
47,48,47,1,24
49,50,49,1,25
51,52,51,1,26
53,54,53,1,27
55,56,55,1,28
57,58,57,1,29
59,60,59,1,30
61,62,61,1,31
63,64,63,1,32
1,3,1,2,33
5,8,5,2,34
9,11,9,2,35
13,16,16,2,36
18,20,20,2,37
21,23,23,2,38
25,27,27,2,39
29,31,29,2,40
33,36,33,2,41
37,39,37,2,42
42,43,43,2,43
46,47,47,2,44
49,51,51,2,45
53,55,55,2,46
57,59,59,2,47
61,63,63,2,48
1,5,5,3,49
9,16,9,3,50
20,23,20,3,51
27,29,27,3,52
33,37,37,3,53
43,47,47,3,54
51,55,55,3,55
59,63,59,3,56
5,9,5,4,57
20,27,20,4,58
37,47,37,4,59
55,59,55,4,60
5,20,5,5,61
37,55,55,5,62
5,55,55,6,63
